"시점","월별(1)","발전원별(1)",발전원별(2),발전원별(3),데이터
"2017","5월","사업자(종합)",집단,소계,2126254
"2017","5월","사업자(종합)",내연력,소계,61880
"2017","5월","상용자가",한전구입,소계,5436
"2017","5월","총발전량",사업자+한전구입,소계,42820063
"2017","6월","한전 및 자회사",소계,소계,32474815
"2017","6월","한전 및 자회사",수력,소계,437561
"2017","6월","한전 및 자회사",수력,일반,67851
"2017","6월","한전 및 자회사",수력,양수,360569
"2017","6월","한전 및 자회사",수력,소수력,9140
"2017","6월","한전 및 자회사",기력,소계,16885157
"2017","6월","한전 및 자회사",기력,무연탄,256351
"2017","6월","한전 및 자회사",기력,유연탄,16334113
"2017","6월","한전 및 자회사",기력,중유,294694
"2017","6월","한전 및 자회사",복합화력,소계,2238710
"2017","6월","한전 및 자회사",원자력,소계,12493858
"2017","6월","한전 및 자회사",신재생,소계,192414
"2017","6월","한전 및 자회사",집단,소계,196498
"2017","6월","한전 및 자회사",내연력,소계,30616
"2017","6월","타사",소계,소계,10950051
"2017","6월","타사",수력,소계,126464
"2017","6월","타사",수력,일반,96760
"2017","6월","타사",수력,소수력,29704
"2017","6월","타사",기력,유연탄,475799
"2017","6월","타사",복합화력,소계,6105599
"2017","6월","타사",신재생,소계,1775433
"2017","6월","타사",집단,소계,2466756
"2017","6월","사업자(종합)",소계,소계,43424866
"2017","6월","사업자(종합)",수력,소계,564025
"2017","6월","사업자(종합)",수력,일반,164611
"2017","6월","사업자(종합)",수력,양수,360569
"2017","6월","사업자(종합)",수력,소수력,38845
"2017","6월","사업자(종합)",기력,소계,17360956
"2017","6월","사업자(종합)",기력,무연탄,256351
"2017","6월","사업자(종합)",기력,유연탄,16809912
"2017","6월","사업자(종합)",기력,중유,294694
"2017","6월","사업자(종합)",복합화력,소계,8344309
"2017","6월","사업자(종합)",원자력,소계,12493858
"2017","6월","사업자(종합)",신재생,소계,1967847
"2017","6월","사업자(종합)",집단,소계,2663255
"2017","6월","사업자(종합)",내연력,소계,30616
"2017","6월","상용자가",한전구입,소계,5520
"2017","6월","총발전량",사업자+한전구입,소계,43430386
"2017","7월","한전 및 자회사",소계,소계,38434374
"2017","7월","한전 및 자회사",수력,소계,482430
"2017","7월","한전 및 자회사",수력,일반,156030
"2017","7월","한전 및 자회사",수력,양수,311432
"2017","7월","한전 및 자회사",수력,소수력,14969
"2017","7월","한전 및 자회사",기력,소계,21240268
"2017","7월","한전 및 자회사",기력,무연탄,274802
"2017","7월","한전 및 자회사",기력,유연탄,20409147
"2017","7월","한전 및 자회사",기력,중유,556319
"2017","7월","한전 및 자회사",복합화력,소계,4012960
"2017","7월","한전 및 자회사",원자력,소계,12223246
"2017","7월","한전 및 자회사",신재생,소계,147539
"2017","7월","한전 및 자회사",집단,소계,276763
"2017","7월","한전 및 자회사",내연력,소계,51168
"2017","7월","타사",소계,소계,11208970
"2017","7월","타사",수력,소계,156594
"2017","7월","타사",수력,일반,118466
"2017","7월","타사",수력,소수력,38128
"2017","7월","타사",기력,유연탄,667268
"2017","7월","타사",복합화력,소계,6054032
"2017","7월","타사",신재생,소계,1720131
"2017","7월","타사",집단,소계,2610945
"2017","7월","사업자(종합)",소계,소계,49643344
"2017","7월","사업자(종합)",수력,소계,639024
"2017","7월","사업자(종합)",수력,일반,274496
"2017","7월","사업자(종합)",수력,양수,311432
"2017","7월","사업자(종합)",수력,소수력,53097
"2017","7월","사업자(종합)",기력,소계,21907535
"2017","7월","사업자(종합)",기력,무연탄,274802
"2017","7월","사업자(종합)",기력,유연탄,21076414
"2017","7월","사업자(종합)",기력,중유,556319
"2017","7월","사업자(종합)",복합화력,소계,10066993
"2017","7월","사업자(종합)",원자력,소계,12223246
"2017","7월","사업자(종합)",신재생,소계,1867669
"2017","7월","사업자(종합)",집단,소계,2887708
"2017","7월","사업자(종합)",내연력,소계,51168
"2017","7월","상용자가",한전구입,소계,7751
"2017","7월","총발전량",사업자+한전구입,소계,49651095
"2017","8월","한전 및 자회사",소계,소계,38235049
"2017","8월","한전 및 자회사",수력,소계,667020
"2017","8월","한전 및 자회사",수력,일반,217315
"2017","8월","한전 및 자회사",수력,양수,435068
"2017","8월","한전 및 자회사",수력,소수력,14637
"2017","8월","한전 및 자회사",기력,소계,21849877
"2017","8월","한전 및 자회사",기력,무연탄,369087
"2017","8월","한전 및 자회사",기력,유연탄,21147470
"2017","8월","한전 및 자회사",기력,중유,333320
"2017","8월","한전 및 자회사",복합화력,소계,3109468
"2017","8월","한전 및 자회사",원자력,소계,11914437
"2017","8월","한전 및 자회사",신재생,소계,348333
"2017","8월","한전 및 자회사",집단,소계,288624
"2017","8월","한전 및 자회사",내연력,소계,57291
"2017","8월","타사",소계,소계,10710217
"2017","8월","타사",수력,소계,301250
"2017","8월","타사",수력,일반,258287
"2017","8월","타사",수력,소수력,42963
"2017","8월","타사",기력,유연탄,611934
"2017","8월","타사",복합화력,소계,5455721
"2017","8월","타사",신재생,소계,1817936
"2017","8월","타사",집단,소계,2523376
"2017","8월","사업자(종합)",소계,소계,48945266
"2017","8월","사업자(종합)",수력,소계,968270
"2017","8월","사업자(종합)",수력,일반,475602
"2017","8월","사업자(종합)",수력,양수,435068
"2017","8월","사업자(종합)",수력,소수력,57600
"2017","8월","사업자(종합)",기력,소계,22461810
"2017","8월","사업자(종합)",기력,무연탄,369087
"2017","8월","사업자(종합)",기력,유연탄,21759403
"2017","8월","사업자(종합)",기력,중유,333320
"2017","8월","사업자(종합)",복합화력,소계,8565189
"2017","8월","사업자(종합)",원자력,소계,11914437
"2017","8월","사업자(종합)",신재생,소계,2166269
"2017","8월","사업자(종합)",집단,소계,2812000
"2017","8월","사업자(종합)",내연력,소계,57291
"2017","8월","상용자가",한전구입,소계,5855
"2017","8월","총발전량",사업자+한전구입,소계,48951121
"2017","9월","한전 및 자회사",소계,소계,35201531
"2017","9월","한전 및 자회사",수력,소계,504595
"2017","9월","한전 및 자회사",수력,일반,70093
"2017","9월","한전 및 자회사",수력,양수,419742
"2017","9월","한전 및 자회사",수력,소수력,14761
"2017","9월","한전 및 자회사",기력,소계,19915119
"2017","9월","한전 및 자회사",기력,무연탄,215171
"2017","9월","한전 및 자회사",기력,유연탄,19462697
"2017","9월","한전 및 자회사",기력,중유,237250
"2017","9월","한전 및 자회사",복합화력,소계,1991560
"2017","9월","한전 및 자회사",원자력,소계,12332852
"2017","9월","한전 및 자회사",신재생,소계,341207
"2017","9월","한전 및 자회사",집단,소계,91298
"2017","9월","한전 및 자회사",내연력,소계,24900
"2017","9월","타사",소계,소계,8981336
"2017","9월","타사",수력,소계,169016
"2017","9월","타사",수력,일반,131965
"2017","9월","타사",수력,소수력,37051
"2017","9월","타사",기력,유연탄,300899
"2017","9월","타사",복합화력,소계,4468738
"2017","9월","타사",신재생,소계,1809573
"2017","9월","타사",집단,소계,2233110
"2017","9월","사업자(종합)",소계,소계,44182867
"2017","9월","사업자(종합)",수력,소계,673611
"2017","9월","사업자(종합)",수력,일반,202057
"2017","9월","사업자(종합)",수력,양수,419742
"2017","9월","사업자(종합)",수력,소수력,51812
"2017","9월","사업자(종합)",기력,소계,20216018
"2017","9월","사업자(종합)",기력,무연탄,215171
"2017","9월","사업자(종합)",기력,유연탄,19763596
"2017","9월","사업자(종합)",기력,중유,237250
"2017","9월","사업자(종합)",복합화력,소계,6460298
"2017","9월","사업자(종합)",원자력,소계,12332852
"2017","9월","사업자(종합)",신재생,소계,2150780
"2017","9월","사업자(종합)",집단,소계,2324408
"2017","9월","사업자(종합)",내연력,소계,24900
"2017","9월","상용자가",한전구입,소계,13050
"2017","9월","총발전량",사업자+한전구입,소계,44195917
"2017","10월","한전 및 자회사",소계,소계,33344138
"2017","10월","한전 및 자회사",수력,소계,428783
"2017","10월","한전 및 자회사",수력,일반,50664
"2017","10월","한전 및 자회사",수력,양수,362831
"2017","10월","한전 및 자회사",수력,소수력,15287
"2017","10월","한전 및 자회사",기력,소계,18495155
"2017","10월","한전 및 자회사",기력,무연탄,280495
"2017","10월","한전 및 자회사",기력,유연탄,18054688
"2017","10월","한전 및 자회사",기력,중유,159972
"2017","10월","한전 및 자회사",복합화력,소계,1887951
"2017","10월","한전 및 자회사",원자력,소계,12108787
"2017","10월","한전 및 자회사",신재생,소계,147514
"2017","10월","한전 및 자회사",집단,소계,231606
"2017","10월","한전 및 자회사",내연력,소계,44343
"2017","10월","타사",소계,소계,9023421
"2017","10월","타사",수력,소계,138060
"2017","10월","타사",수력,일반,108496
"2017","10월","타사",수력,소수력,29563
"2017","10월","타사",기력,유연탄,319809
"2017","10월","타사",복합화력,소계,4282120
"2017","10월","타사",신재생,소계,1802445
"2017","10월","타사",집단,소계,2480987
"2017","10월","사업자(종합)",소계,소계,42367559
"2017","10월","사업자(종합)",수력,소계,566843
"2017","10월","사업자(종합)",수력,일반,159161
"2017","10월","사업자(종합)",수력,양수,362831
"2017","10월","사업자(종합)",수력,소수력,44851
"2017","10월","사업자(종합)",기력,소계,18814964
"2017","10월","사업자(종합)",기력,무연탄,280495
"2017","10월","사업자(종합)",기력,유연탄,18374496
"2017","10월","사업자(종합)",기력,중유,159972
"2017","10월","사업자(종합)",복합화력,소계,6170071
"2017","10월","사업자(종합)",원자력,소계,12108787
"2017","10월","사업자(종합)",신재생,소계,1949959
"2017","10월","사업자(종합)",집단,소계,2712593
"2017","10월","사업자(종합)",내연력,소계,44343
"2017","10월","상용자가",한전구입,소계,18967
"2017","10월","총발전량",사업자+한전구입,소계,42386526
"2017","11월","한전 및 자회사",소계,소계,33797360
"2017","11월","한전 및 자회사",수력,소계,342942
"2017","11월","한전 및 자회사",수력,일반,50198
"2017","11월","한전 및 자회사",수력,양수,279294
"2017","11월","한전 및 자회사",수력,소수력,13451
"2017","11월","한전 및 자회사",기력,소계,18285230
"2017","11월","한전 및 자회사",기력,무연탄,221807
"2017","11월","한전 및 자회사",기력,유연탄,17742441
"2017","11월","한전 및 자회사",기력,중유,320982
"2017","11월","한전 및 자회사",복합화력,소계,3214796
"2017","11월","한전 및 자회사",원자력,소계,11291469
"2017","11월","한전 및 자회사",신재생,소계,275519
"2017","11월","한전 및 자회사",집단,소계,347667
"2017","11월","한전 및 자회사",내연력,소계,39737
"2017","11월","타사",소계,소계,12223289
"2017","11월","타사",수력,소계,108404
"2017","11월","타사",수력,일반,87958
"2017","11월","타사",수력,소수력,20446
"2017","11월","타사",기력,유연탄,348245
"2017","11월","타사",복합화력,소계,6528453
"2017","11월","타사",신재생,소계,1791146
"2017","11월","타사",집단,소계,3447041
"2017","11월","사업자(종합)",소계,소계,46020649
"2017","11월","사업자(종합)",수력,소계,451346
"2017","11월","사업자(종합)",수력,일반,138156
"2017","11월","사업자(종합)",수력,양수,279294
"2017","11월","사업자(종합)",수력,소수력,33897
"2017","11월","사업자(종합)",기력,소계,18633475
"2017","11월","사업자(종합)",기력,무연탄,221807
"2017","11월","사업자(종합)",기력,유연탄,18090686
"2017","11월","사업자(종합)",기력,중유,320982
"2017","11월","사업자(종합)",복합화력,소계,9743249
"2017","11월","사업자(종합)",원자력,소계,11291469
"2017","11월","사업자(종합)",신재생,소계,2066665
"2017","11월","사업자(종합)",집단,소계,3794708
"2017","11월","사업자(종합)",내연력,소계,39737
"2017","11월","상용자가",한전구입,소계,60114
"2017","11월","총발전량",사업자+한전구입,소계,46080764
"2017","12월","한전 및 자회사",소계,소계,37732868
"2017","12월","한전 및 자회사",수력,소계,354137
"2017","12월","한전 및 자회사",수력,일반,52023
"2017","12월","한전 및 자회사",수력,양수,288810
"2017","12월","한전 및 자회사",수력,소수력,13304
"2017","12월","한전 및 자회사",기력,소계,21464050
"2017","12월","한전 및 자회사",기력,무연탄,248312
"2017","12월","한전 및 자회사",기력,유연탄,20211420
"2017","12월","한전 및 자회사",기력,중유,1004318
"2017","12월","한전 및 자회사",복합화력,소계,4798655
"2017","12월","한전 및 자회사",원자력,소계,10437833
"2017","12월","한전 및 자회사",신재생,소계,289498
"2017","12월","한전 및 자회사",집단,소계,341636
"2017","12월","한전 및 자회사",내연력,소계,47059
"2017","12월","타사",소계,소계,14117802
"2017","12월","타사",수력,소계,113371
"2017","12월","타사",수력,일반,93944
"2017","12월","타사",수력,소수력,19427
"2017","12월","타사",기력,유연탄,743429
"2017","12월","타사",복합화력,소계,7115780
"2017","12월","타사",신재생,소계,1865050
