년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월,사용량
201702,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업 ","34,917 ","232,663,401 ","30,755,554,117 ",132.2 ,2017,02,232663401.0
201702,전체(시도),전체(시 / 군 / 구),제조업 ,"326,018 ","20,555,309,974 ","2,401,545,813,151 ",116.8 ,2017,02,20555309974.0
201702,전체(시도),전체(시 / 군 / 구),"출판영상,방송통신정보서비스업","188,828 ","561,878,966 ","67,584,542,964 ",120.3 ,2017,02,561878966.0
201702,전체(시도),전체(시 / 군 / 구),하수폐기처리원료재생환경복원,"37,219 ","524,875,173 ","63,775,196,792 ",121.5 ,2017,02,524875173.0
201702,전체(시도),전체(시 / 군 / 구),"협회단체,수리기타개인서비스업","232,457 ","643,120,152 ","85,959,482,192 ",133.7 ,2017,02,643120152.0
201703,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",521 ,"503,741 ","72,008,925 ",142.9 ,2017,03,503741.0
201703,전체(시도),전체(시 / 군 / 구),건설업 ,"69,728 ","321,762,071 ","39,946,119,126 ",124.1 ,2017,03,321762071.0
201703,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","34,864 ","463,893,079 ","54,846,213,163 ",118.2 ,2017,03,463893079.0
201703,전체(시도),전체(시 / 군 / 구),광업 ,"4,624 ","160,753,852 ","19,053,342,743 ",118.5 ,2017,03,160753852.0
201703,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,830 ","836,754,450 ","82,302,301,254 ",98.4 ,2017,03,836754450.0
201703,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,234 ,"52,769,314 ","6,043,106,565 ",114.5 ,2017,03,52769314.0
201703,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"16,096 ","146,938,408 ","17,984,908,028 ",122.4 ,2017,03,146938408.0
201703,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","2,081,482 ","1,421,505,351 ","69,153,398,988 ",48.6 ,2017,03,1421505351.0
201703,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"667,084 ","1,571,087,438 ","191,992,051,510 ",122.2 ,2017,03,1571087438.0
201703,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,885 ","523,767,865 ","55,760,001,978 ",106.5 ,2017,03,523767865.0
201703,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"914,410 ","2,622,730,504 ","334,259,611,544 ",127.4 ,2017,03,2622730504.0
201703,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","83,862 ","128,540,695 ","16,650,348,167 ",129.5 ,2017,03,128540695.0
201703,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"521,891 ","1,229,351,757 ","149,879,476,613 ",121.9 ,2017,03,1229351757.0
201703,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","74,709 ","354,864,577 ","45,091,634,290 ",127.1 ,2017,03,354864577.0
201703,전체(시도),전체(시 / 군 / 구),운수업,"143,418 ","809,997,502 ","85,498,518,483 ",105.6 ,2017,03,809997502.0
201703,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 수도사업 ","67,717 ","970,216,601 ","105,916,310,059 ",109.2 ,2017,03,970216601.0
201703,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업 ","34,772 ","220,866,320 ","25,014,315,146 ",113.3 ,2017,03,220866320.0
201703,전체(시도),전체(시 / 군 / 구),제조업 ,"326,701 ","21,829,190,871 ","2,056,386,987,759 ",94.2 ,2017,03,21829190871.0
201703,전체(시도),전체(시 / 군 / 구),"출판영상,방송통신정보서비스업","186,540 ","550,427,368 ","56,753,321,674 ",103.1 ,2017,03,550427368.0
201703,전체(시도),전체(시 / 군 / 구),하수폐기처리원료재생환경복원,"37,215 ","525,288,516 ","54,751,753,870 ",104.2 ,2017,03,525288516.0
201703,전체(시도),전체(시 / 군 / 구),"협회단체,수리기타개인서비스업","232,154 ","533,732,382 ","68,898,409,972 ",129.1 ,2017,03,533732382.0
201704,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",518 ,"508,136 ","64,854,781 ",127.6 ,2017,04,508136.0
201704,전체(시도),전체(시 / 군 / 구),건설업 ,"70,991 ","270,032,232 ","32,878,350,403 ",121.8 ,2017,04,270032232.0
201704,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","34,948 ","415,561,700 ","47,329,096,600 ",113.9 ,2017,04,415561700.0
201704,전체(시도),전체(시 / 군 / 구),광업 ,"4,662 ","159,006,584 ","18,390,614,213 ",115.7 ,2017,04,159006584.0
201704,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,707 ","718,511,805 ","66,323,425,025 ",92.3 ,2017,04,718511805.0
201704,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,234 ,"54,425,168 ","5,973,040,404 ",109.7 ,2017,04,54425168.0
201704,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"16,096 ","133,115,465 ","15,560,021,191 ",116.9 ,2017,04,133115465.0
201704,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","1,651,603 ","1,281,059,832 ","62,795,708,542 ",49.0 ,2017,04,1281059832.0
201704,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"665,699 ","1,520,311,422 ","169,169,085,922 ",111.3 ,2017,04,1520311422.0
201704,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,867 ","470,747,691 ","47,854,240,950 ",101.7 ,2017,04,470747691.0
201704,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"917,844 ","2,381,688,336 ","286,746,734,445 ",120.4 ,2017,04,2381688336.0
201704,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","83,569 ","114,958,475 ","14,199,167,293 ",123.5 ,2017,04,114958475.0
201704,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"521,930 ","1,178,757,094 ","129,729,308,407 ",110.1 ,2017,04,1178757094.0
201704,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","74,774 ","321,925,235 ","39,140,598,949 ",121.6 ,2017,04,321925235.0
201704,전체(시도),전체(시 / 군 / 구),운수업,"143,814 ","785,561,649 ","79,194,796,458 ",100.8 ,2017,04,785561649.0
201704,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 수도사업 ","67,818 ","956,864,230 ","101,953,845,131 ",106.5 ,2017,04,956864230.0
201704,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업 ","34,707 ","203,329,191 ","22,605,099,411 ",111.2 ,2017,04,203329191.0
201704,전체(시도),전체(시 / 군 / 구),제조업 ,"327,460 ","21,070,104,713 ","1,952,121,502,024 ",92.6 ,2017,04,21070104713.0
201704,전체(시도),전체(시 / 군 / 구),"출판영상,방송통신정보서비스업","185,515 ","563,627,683 ","53,141,841,150 ",94.3 ,2017,04,563627683.0
201704,전체(시도),전체(시 / 군 / 구),하수폐기처리원료재생환경복원,"37,310 ","525,828,029 ","52,393,869,787 ",99.6 ,2017,04,525828029.0
201704,전체(시도),전체(시 / 군 / 구),"협회단체,수리기타개인서비스업","232,020 ","490,691,679 ","58,340,095,636 ",118.9 ,2017,04,490691679.0
201705,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",518 ,"438,626 ","59,831,670 ",136.4 ,2017,05,438626.0
201705,전체(시도),전체(시 / 군 / 구),건설업 ,"71,650 ","230,135,130 ","29,957,268,590 ",130.2 ,2017,05,230135130.0
201705,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","35,052 ","359,504,357 ","43,528,809,711 ",121.1 ,2017,05,359504357.0
201705,전체(시도),전체(시 / 군 / 구),광업 ,"4,690 ","155,774,139 ","18,035,204,131 ",115.8 ,2017,05,155774139.0
201705,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,473 ","539,175,778 ","51,985,503,393 ",96.4 ,2017,05,539175778.0
201705,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,234 ,"49,815,607 ","5,574,029,069 ",111.9 ,2017,05,49815607.0
201705,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"16,113 ","122,733,405 ","14,813,928,678 ",120.7 ,2017,05,122733405.0
201705,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","1,580,897 ","1,050,154,240 ","52,008,486,033 ",49.5 ,2017,05,1050154240.0
201705,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"664,152 ","1,483,057,272 ","166,636,019,455 ",112.4 ,2017,05,1483057272.0
201705,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,880 ","404,329,098 ","46,388,641,118 ",114.7 ,2017,05,404329098.0
201705,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"920,251 ","2,206,293,828 ","274,585,138,253 ",124.5 ,2017,05,2206293828.0
